fname,lname,gender,birthDate,deathDate,age,marriedYear,marriedAge,personality,clanName,spouseId,fatherId,motherId,parentNodeId
Allyn,Martinez,F,9/8/1953,8/21/2013,60,2000,47,ESFJ,Ashenfire,86,,,86
Gerrilee,Huckfield,F,5/25/2000,10/1/2086,86,2033,33,ESFP,Akira,,86,87,87
Jessika,Folk,F,2/13/2016,11/26/2091,75,,,ESFP,Akira,,86,87,87
Jedidiah,Keable,M,9/11/1985,9/11/2063,78,2013,28,ESTP,Ashenmourn,,81,82,82
Agna,Gilffilland,F,5/17/1984,8/10/2057,73,2013,29,ESFP,Blacksteel,90,,,90
Alonzo,Pepye,M,1/26/2013,3/21/2103,90,,,ENTJ,Ashenmourn,,90,91,91
Magnum,Scroyton,M,2/4/1735,11/14/1812,77,,,ISTP,Blacksteel,,0,1,1
Blakelee,Salmen,F,1/20/1755,3/2/1828,73,1802,47,ISFP,Blacksteel,,0,1,1
Wenda,Adlam,F,3/21/1769,6/24/1859,90,1802,33,ESTJ,Ashenfire,98,,,98
Guthrie,Van den Dael,M,4/24/1802,3/1/1890,88,1836,34,ISFJ,Ashenfire,,98,99,99
Kellina,Gillan,F,8/16/1811,12/1/1894,83,1836,25,ESTJ,Ashenfire,100,,,100
Doug,Lynas,M,1/16/1836,5/15/1911,75,,,ESTP,Ashenfire,,100,101,101
Mohandis,Avramovich,M,7/15/1852,10/10/1937,85,1890,38,ISFJ,Ashenfire,,100,101,101
Willyt,Reef,F,11/15/1861,9/25/1958,97,1890,29,ESFJ,Akira,103,,,103
Cherida,Jaslem,F,8/23/1890,12/7/1980,90,1938,48,ESTJ,Ashenfire,,103,104,104
Lian,Abramovitz,F,11/19/1912,8/4/2000,88,1938,26,ESTJ,Akira,105,,,105
Daria,Rogeron,F,7/18/1939,6/5/2033,94,1985,46,ESTP,Ashenfire,,105,106,106
Lewiss,Greste,M,9/18/1960,5/3/2026,66,1985,25,ESTJ,Akira,107,,,107
Killian,Finnick,M,12/4/1989,4/10/2066,77,,,ENTJ,Ashenfire,,107,108,108
Junie,Delgua,F,6/27/1997,9/27/2099,102,2036,39,ENFJ,Akira,,107,108,108
Kippie,Baser,M,2/21/2022,11/6/2127,105,,,ESFP,Ashenfire,,107,108,108
Correy,Strutton,F,2/6/1951,3/22/2011,60,1985,34,ESTP,Ashenfire,,105,106,106
Chaim,Iltchev,M,8/8/1948,11/16/2025,77,1985,37,ENTP,Akira,114,,,114
Janie,Dicke,F,11/13/1985,2/16/2062,77,,,ESTP,Ashenfire,,114,115,115
Ethe,MacKall,M,11/21/1994,1/6/2075,81,,,ESTJ,Ashenfire,,114,115,115
Salim,Pohlak,M,10/18/2003,2/14/2093,90,,,ESFP,Ashenfire,,114,115,115
Shermy,Aberkirder,M,2/23/2016,4/28/2113,97,,,ESFJ,Ashenfire,,114,115,115
Marlyn,Cready,F,9/3/1963,12/1/2043,80,1994,31,ESTJ,Ashenfire,,105,106,106
Lacee,April,F,4/12/1970,11/11/2064,94,1994,24,ESTP,Ashenfire,124,,,124
Cary,Cholerton,M,10/17/1994,11/28/2085,91,,,ESTJ,Ashenfire,,124,125,125
Aili,Stranaghan,F,12/23/2006,9/18/2113,107,,,ISTP,Ashenfire,,124,125,125
Netta,Beane,F,11/20/2017,5/28/2104,87,,,ENTJ,Ashenfire,,124,125,125
Roley,Lorrie,M,10/6/1976,1/28/2054,78,,,ESTP,Ashenfire,,105,106,106
Cirilo,Postgate,M,11/23/1991,11/16/2084,93,,,ESFP,Ashenfire,,105,106,106
Matteo,Barta,M,7/4/2001,2/5/2100,99,2040,39,ESFJ,Akira,,105,106,106
Wilhelm,Treppas,M,10/8/2015,12/20/2092,77,2063,48,ESTP,Ashenfire,,105,106,106
Berty,Faithful,M,10/10/1864,1/22/1918,54,,,ENTJ,Ashenfire,,100,101,101
Sterling,Adenet,M,3/9/1877,7/6/1969,92,1912,35,ESTP,Ashenfire,,100,101,101
Maxwell,Allen,M,6/11/1886,6/7/1979,93,1912,26,ESTJ,Blacksteel,142,,,142
Devi,Couttes,F,10/28/1912,12/13/1995,83,,,ESTJ,Blacksteel,,142,143,143
Nina,Elsby,F,5/18/1924,7/28/2010,86,1961,37,ESFP,Ashenfire,,142,143,143
Alwyn,Sewley,M,7/19/1918,6/4/2008,90,1961,43,ENTJ,Takagi,145,,,145
Chandler,Brugman,M,6/1/1962,12/18/2025,63,,,ISTP,Silversong,,145,146,146
Rey,Taylder,F,1/24/1973,11/16/2070,97,2015,42,ISTJ,Ashenfire,,145,146,146
Dolf,Drysdell,M,7/7/1979,6/2/2053,74,2015,36,ESTP,Silverthorn,148,,,148
Webb,Moody,M,4/28/2015,2/22/2100,85,,,ENFP,Haruki,,148,149,149
Brynne,Bernardet,F,8/7/1992,10/4/2080,88,2048,56,ESTP,Kawasaki,,145,146,146
Carr,Mancell,M,11/23/2001,11/16/2097,96,,,ESFP,Watanabe,,145,146,146
Abbe,Hoffman,F,10/26/1948,2/5/2023,75,,,ESTP,Ashenfire,,142,143,143
Coleen,Howett,F,6/2/1981,6/24/2044,63,,,ESTP,Blacksteel,,142,143,143
Kelli,Dameisele,F,8/5/1821,4/2/1907,86,,,ESTJ,Blacksteel,,98,99,99
Graeme,Carff,M,3/24/1839,8/16/1917,78,1873,34,ESFP,Blacksteel,,98,99,99
Randolf,Infernodark,M,9/28/1834,12/18/1920,86,1873,39,ESFJ,Akira,161,,,161
Mercie,Storck,F,2/3/1873,4/6/1939,66,,,ENTJ,Blacksteel,,161,162,162
Channa,Mc Giffin,F,2/19/1885,2/24/1963,78,1923,38,INTP,Akira,,161,162,162
Oona,Twinborough,F,12/12/1884,3/21/1977,93,1923,39,ISTJ,Akira,164,,,164
Jenny,Hathwood,F,5/22/1923,1/13/2011,88,,,ESTP,Akira,,164,165,165
Jefferson,Winslade,M,8/9/1936,11/26/1996,60,,,ENFJ,Akira,,164,165,165
Maible,Zanettini,F,3/18/1945,5/7/2040,95,,,ESTJ,Akira,,164,165,165
Tandi,Lattin,F,8/10/1957,11/12/2038,81,,,ENTP,Akira,,164,165,165
Maxy,Soots,M,10/26/1968,6/12/2067,99,2003,35,ESTJ,Akira,,164,165,165
Jen,D'Alessio,F,7/16/1964,6/12/2045,81,2003,39,ENFP,Blacksteel,170,,,170
Woody,Clement,M,4/6/2003,9/21/2057,54,,,ESFJ,Blacksteel,,170,171,171
Armstrong,Coughan,M,5/15/2015,5/24/2105,90,2051,36,ESFJ,Akira,,170,171,171
Ferd,Mival,M,10/19/1980,10/15/2061,81,,,ESTJ,Akira,,164,165,165
Laverne,Pesak,F,12/7/2011,4/28/2086,75,2041,30,ESTJ,Akira,,164,165,165
Andrey,Thewless,M,10/27/1903,11/9/1988,85,1925,22,ENTJ,Blacksteel,,161,162,162
Arri,Bruckmann,M,7/15/1891,4/28/1980,89,1925,34,ESFP,Ashenmourn,178,,,178
Erl,Tanaka,M,4/7/1925,11/8/2006,81,1968,43,ISTJ,Blacksteel,,178,179,179
Traver,Luppitt,M,8/10/1935,12/16/2016,81,1968,33,ESFJ,Ashenmourn,180,,,180
Valentino,Iwanicki,M,8/10/1968,5/27/2034,66,1998,30,ESTP,Ashenmourn,,180,181,181
Glendon,Coltart,M,9/7/1973,9/20/2068,95,1998,25,ESTJ,Aoki,182,,,182
Aloise,Yitshak,F,11/18/1998,3/26/2064,66,2023,25,ENFJ,Aoki,,182,183,183
Bernadina,Kindread,F,7/25/1983,12/8/2077,94,2023,40,ENTP,Sunspear,184,,,184
Ernest,Foley,M,9/22/2023,8/16/2100,77,2044,21,ENTJ,Abe,,184,185,185
Benjamin,Faint,M,9/25/2010,7/3/2098,88,,,ESFJ,Aoki,,182,183,183
Clara,Morad,F,12/20/2018,12/24/2108,90,,,ESTP,Aoki,,182,183,183
Lisabeth,Udall,F,11/8/2005,5/25/2102,97,2042,37,ESTJ,Ashenmourn,,180,181,181
Margaretta,Farmiloe,F,5/26/1935,2/22/2044,109,,,ESFJ,Blacksteel,,178,179,179
Brantley,Lissimore,M,5/23/1948,10/4/2042,94,,,ENTJ,Blacksteel,,178,179,179
Christie,Beckley,F,6/4/1960,10/20/2041,81,,,ISFP,Blacksteel,,178,179,179
Anthia,Stenson,F,6/4/1973,8/15/2041,68,,,ISTP,Blacksteel,,178,179,179
Kassandra,Twigge,F,12/3/1984,6/12/2091,107,2019,35,ESTJ,Blacksteel,,178,179,179
Red,Stroton,M,11/14/1986,8/11/2073,87,2019,33,ESFJ,Blacksteel,201,,,201
Lea,Fateley,F,7/1/2019,8/18/2100,81,,,ESTP,Blacksteel,,201,202,202
Gwen,Oak,F,7/7/1998,4/25/2061,63,,,ESTJ,Blacksteel,,178,179,179
Hadrian,Greenard,M,3/2/2013,5/28/2090,77,2055,42,ENTP,Ashenmourn,,178,179,179
Betsey,Bronger,F,5/11/1914,4/11/1974,60,1945,31,ESTP,Blacksteel,,161,162,162
Johny,Brydson,M,11/20/1920,8/4/2001,81,1945,25,ESFP,Blacksteel,214,,,214
Nichols,Wroth,M,7/7/1948,12/23/2038,90,,,ISFP,Blacksteel,,214,215,215
Ferrel,Jammet,M,11/24/1955,10/6/2045,90,1996,41,ESFJ,Blacksteel,,214,215,215
Dylan,Edgar,M,10/1/1948,12/6/2002,54,1996,48,ESTP,Ashenfire,217,,,217
Elise,Darrigoe,F,9/24/1996,5/14/2087,91,,,ESTJ,Ashenfire,,217,218,218
Beatriz,Climson,F,2/23/2010,10/8/2087,77,2044,34,ENFP,Ashenfire,,217,218,218
Brittney,Banisch,F,4/3/2020,4/5/2114,94,,,ESFP,Ashenfire,,217,218,218
Feodor,Biggans,M,4/22/1993,8/13/2080,87,,,ENFJ,Blacksteel,,214,215,215
Helsa,Hebbes,F,3/19/1931,9/24/1996,65,1971,40,ESTP,Akira,,161,162,162
Greg,Bento,M,4/15/1938,6/19/2034,96,1971,33,ESFJ,Aoki,233,,,233
Lorette,Baildon,F,4/7/1971,4/11/2042,71,1999,28,ESTP,Akira,,233,234,234
Nicholle,Philson,F,6/15/1962,7/1/2040,78,1999,37,ENTP,Akira,235,,,235
Henry,Haborn,M,11/26/1999,9/11/2083,84,2037,38,ESTJ,Akira,,235,236,236
Fernandina,Vargas,F,7/15/2014,10/21/2091,77,,,ESFJ,Akira,,235,236,236
Essa,Traynor,F,4/21/1851,4/17/1935,84,,,ISFJ,Blacksteel,,98,99,99
