id,generation,fname,lname,gender,birthDate,deathDate,age,marriedYear,marriedAge,personality,clanName,spouseId,fatherId,motherId,parentNodeId
80,3,Martyn,Mollitt,M,1/16/1892,9/13/1990,98,,,ESFP,Ashenfire,,74,75,75
81,3,Deina,Sellor,F,6/25/1902,4/8/1984,82,1934,32,ESFP,Akira,,74,75,75
82,3,Goldia,McHaffy,F,5/26/1888,1/13/1974,86,1934,46,ENTP,Ashenmourn,81,,,81
83,4,Emelda,Masurel,F,6/11/1935,4/3/2025,90,,,ESTP,Ashenmourn,,81,82,82
84,4,Cate,Biglin,F,2/11/1947,10/15/2037,90,,,ENFJ,Ashenmourn,,81,82,82
85,4,Magdaia,Smewings,F,4/22/1953,5/9/2038,85,,,ESTJ,Ashenmourn,,81,82,82
86,4,Quintin,Gabby,M,9/28/1967,11/8/2048,81,2000,33,ISTP,Akira,,81,82,82
87,4,Martie,Linder,F,12/11/1953,1/5/2043,90,2000,47,ESFJ,Ashenfire,86,,,86
88,5,Joann,Smewing,F,8/15/2000,6/8/2092,92,2033,33,ESFP,Akira,,86,87,87
89,5,Papageno,MacNeilage,M,1/17/2016,5/6/2113,97,,,ESFP,Akira,,86,87,87
90,4,Erek,Trass,M,5/15/1985,2/18/2078,93,2013,28,ESTP,Ashenmourn,,81,82,82
91,4,Valentin,Mushrow,M,3/19/1984,5/25/2072,88,2013,29,ESFP,Blacksteel,90,,,90
92,5,Orazio,Bogey,M,1/27/2013,3/7/2072,59,,,ENTJ,Ashenmourn,,90,91,91
97,1,Tedd,Grishaev,M,12/14/1735,9/16/1806,71,,,ISTP,Blacksteel,,0,1,1
98,1,Borden,Spelwood,M,6/19/1755,9/16/1822,67,1802,47,ISFP,Blacksteel,,0,1,1
99,1,Conroy,Liepmann,M,1/16/1769,10/24/1859,90,1802,33,ESTJ,Ashenfire,98,,,98
100,2,Mallissa,Itzhayek,F,9/28/1802,1/2/1884,82,1836,34,ISFJ,Ashenfire,,98,99,99
101,2,Janeen,Corns,F,9/19/1811,6/23/1889,78,1836,25,ESTJ,Ashenfire,100,,,100
102,3,Janetta,Nielson,F,9/19/1836,10/7/1907,71,,,ESTP,Ashenfire,,100,101,101
103,3,Rhys,Grannell,M,9/17/1852,10/4/1932,80,1890,38,ISFJ,Ashenfire,,100,101,101
104,3,Stephani,McMurrugh,F,12/25/1861,6/1/1953,92,1890,29,ESFJ,Akira,103,,,103
105,4,Berne,Aikett,M,8/10/1890,7/16/1980,90,1938,48,ESTJ,Ashenfire,,103,104,104
106,4,Timothee,Mingard,M,5/5/1912,9/21/2010,98,1938,26,ESTJ,Akira,105,,,105
107,5,Nedda,O'Canavan,F,4/11/1939,4/17/2012,73,1985,46,ESTP,Ashenfire,,105,106,106
108,5,Florance,Beadon,F,4/21/1960,11/5/2053,93,1985,25,ESTJ,Akira,107,,,107
109,6,Borden,Reuther,M,3/28/1989,1/12/2079,90,,,ENTJ,Ashenfire,,107,108,108
110,6,Marley,Reynard,F,9/25/1997,5/27/2087,90,2036,39,ENFJ,Akira,,107,108,108
111,6,Lonni,Guillotin,F,10/2/2022,4/21/2121,99,,,ESFP,Ashenfire,,107,108,108
114,5,Laughton,Devout,M,2/27/1951,3/27/2044,93,1985,34,ESTP,Ashenfire,,105,106,106
115,5,Gearard,Petworth,M,11/15/1948,4/17/2046,98,1985,37,ENTP,Akira,114,,,114
116,6,Egon,Aikett,M,9/6/1985,1/4/2059,74,,,ESTP,Ashenfire,,114,115,115
117,6,Alvie,Breeton,M,2/2/1994,8/10/2069,75,,,ESTJ,Ashenfire,,114,115,115
118,6,Kaitlin,Cluitt,F,3/18/2003,3/21/2103,100,,,ESFP,Ashenfire,,114,115,115
119,6,Jenni,Brummitt,F,3/16/2016,10/14/2105,89,,,ESFJ,Ashenfire,,114,115,115
124,5,Brita,Alonso,F,12/11/1963,4/3/2045,82,1994,31,ESTJ,Ashenfire,,105,106,106
125,5,Luciana,Spellacy,F,6/27/1970,3/17/2060,90,1994,24,ESTP,Ashenfire,124,,,124
126,6,Vonny,Hargess,F,6/6/1994,8/22/2090,96,,,ESTJ,Ashenfire,,124,125,125
127,6,Lindsay,Nuss,M,12/8/2006,7/27/2087,81,,,ISTP,Ashenfire,,124,125,125
128,6,Gisela,Surcombe,F,5/12/2017,1/15/2099,82,,,ENTJ,Ashenfire,,124,125,125
136,5,Aloise,Lyptrit,F,4/12/1976,7/28/2050,74,,,ESTP,Ashenfire,,105,106,106
137,5,Shannen,Penrith,F,8/5/1991,1/17/2071,80,,,ESFP,Ashenfire,,105,106,106
138,5,Hermie,Pohls,M,9/2/2001,4/15/2091,90,2040,39,ESFJ,Akira,,105,106,106
139,5,Caroline,Gonnelly,F,9/4/2015,11/8/2105,90,2063,48,ESTP,Ashenfire,,105,106,106
141,3,Bard,Gherardini,M,5/20/1864,8/14/1933,69,,,ENTJ,Ashenfire,,100,101,101
142,3,Arty,Lavell,M,11/25/1877,3/22/1977,100,1912,35,ESTP,Ashenfire,,100,101,101
143,3,Kellie,Chuney,F,1/1/1886,8/5/1984,98,1912,26,ESTJ,Blacksteel,142,,,142
144,4,Chet,Kaplin,M,8/16/1912,4/4/2002,90,,,ESTJ,Blacksteel,,142,143,143
145,4,Tadio,Shimizu,M,2/26/1924,9/9/2014,90,1961,37,ESFP,Ashenfire,,142,143,143
146,4,Mateo,Arnoll,M,2/2/1918,12/26/2017,99,1961,43,ENTJ,Dreadthorn,145,,,145
147,5,Roarke,Tillerton,M,9/23/1962,8/27/2050,88,,,ISTP,Bloodmoon,,145,146,146
148,5,Jeramey,Rainbow,M,5/8/1973,5/3/2054,81,2015,42,ISTJ,Ashenfire,,145,146,146
149,5,Care,Hendrickson,M,12/6/1979,7/10/2063,84,2015,36,ESTP,Ravencrest,148,,,148
150,6,Elisha,Balthasar,F,7/12/2015,1/28/2106,91,,,ENFP,Dragonfire,,148,149,149
155,5,Brita,Aronowitz,F,4/6/1992,7/17/2079,87,2048,56,ESTP,Thundersong,,145,146,146
156,5,Dominick,Sinncock,M,3/9/2001,6/9/2088,87,,,ESFP,Nakagawa,,145,146,146
158,4,Saunders,Aucoate,M,7/11/1948,9/13/2026,78,,,ESTP,Ashenfire,,142,143,143
159,4,Tandie,Creek,F,11/10/1981,8/3/2071,90,,,ESTP,Blacksteel,,142,143,143
160,2,Vallie,Auchterlonie,F,3/22/1821,11/3/1903,82,,,ESTJ,Blacksteel,,98,99,99
161,2,Ceil,Buglar,F,4/20/1839,5/15/1914,75,1873,34,ESFP,Blacksteel,,98,99,99
162,2,Kara-lynn,Twaite,F,5/2/1834,10/13/1924,90,1873,39,ESFJ,Akira,161,,,161
163,3,Noby,Forsyde,M,11/4/1873,2/14/1955,82,,,ENTJ,Blacksteel,,161,162,162
164,3,Marlyn,Pidon,F,8/21/1885,12/1/1944,59,1923,38,INTP,Akira,,161,162,162
165,3,Henryetta,Hackly,F,9/11/1884,12/21/1951,67,1923,39,ISTJ,Akira,164,,,164
166,4,Alberto,Tadd,M,11/17/1923,1/6/2004,81,,,ESTP,Akira,,164,165,165
167,4,Heidi,Bernardot,F,12/23/1936,10/25/2014,78,,,ENFJ,Akira,,164,165,165
168,4,Kissee,Sothern,F,11/15/1945,4/8/2006,61,,,ESTJ,Akira,,164,165,165
169,4,Kanako,Tadd,F,7/7/1957,7/26/2047,90,,,ENTP,Akira,,164,165,165
170,4,Terrye,Robilliard,F,10/2/1968,2/27/2038,70,2003,35,ESTJ,Akira,,164,165,165
171,4,Chev,Clarage,M,10/24/1964,9/13/2034,70,2003,39,ENFP,Blacksteel,170,,,170
172,5,Bank,Kaiser,M,12/21/2003,3/25/2091,88,,,ESFJ,Blacksteel,,170,171,171
173,5,Claudetta,Orum,F,2/27/2015,4/4/2115,100,2051,36,ESFJ,Akira,,170,171,171
176,4,Laurel,Baldrey,F,5/2/1980,12/9/2074,94,,,ESTJ,Akira,,164,165,165
177,4,Matthiew,Cowhig,M,11/1/2011,1/13/2101,90,2041,30,ESTJ,Akira,,164,165,165
178,3,Raoul,Smithies,M,8/23/1903,1/2/1964,61,1925,22,ENTJ,Blacksteel,,161,162,162
179,3,Francine,Beaney,F,4/24/1891,9/19/1972,81,1925,34,ESFP,Ashenmourn,178,,,178
180,4,Cass,Gladhill,M,2/15/1925,6/14/2019,94,1968,43,ISTJ,Blacksteel,,178,179,179
181,4,Lurlene,Ikins,F,1/25/1935,3/14/1989,54,1968,33,ESFJ,Ashenmourn,180,,,180
182,5,Boris,Levee,M,7/5/1968,1/25/2027,59,1998,30,ESTP,Ashenmourn,,180,181,181
183,5,Rayshell,Moores,F,4/16/1973,12/9/2074,101,1998,25,ESTJ,Aoki,182,,,182
184,6,Elonore,Duffill,F,4/28/1998,8/11/2068,70,2023,25,ENFJ,Aoki,,182,183,183
185,6,Berrie,Faldoe,F,8/11/1983,10/4/2059,76,2023,40,ENTP,Kuroda,184,,,184
186,7,Niles,Danielli,M,3/9/2023,10/14/2124,101,2044,21,ENTJ,Kojima,,184,185,185
189,6,Clementina,Shafto,F,5/12/2010,1/3/2071,61,,,ESFJ,Aoki,,182,183,183
190,6,Cristobal,Raspel,M,12/6/2018,3/10/2116,98,,,ESTP,Aoki,,182,183,183
196,5,Cathyleen,Duquesnay,F,11/13/2005,9/28/2105,100,2042,37,ESTJ,Ashenmourn,,180,181,181
197,4,Effie,Crosthwaite,F,6/14/1935,9/26/2016,81,,,ESFJ,Blacksteel,,178,179,179
198,4,Kyrstin,Casol,F,2/15/1948,4/18/2029,81,,,ENTJ,Blacksteel,,178,179,179
199,4,Pattin,Pomfrett,M,3/13/1960,7/7/2050,90,,,ISFP,Blacksteel,,178,179,179
200,4,Cybill,Emons,F,10/3/1973,8/27/2056,83,,,ISTP,Blacksteel,,178,179,179
201,4,Stephan,Capstick,M,1/13/1984,12/8/2051,67,2019,35,ESTJ,Blacksteel,,178,179,179
202,4,Bathsheba,Thomsson,F,2/26/1986,8/24/2053,67,2019,33,ESFJ,Blacksteel,201,,,201
203,5,Camellia,Barta,F,1/8/2019,1/23/2099,80,,,ESTP,Blacksteel,,201,202,202
212,4,Pryce,Biaggioli,M,12/2/1998,11/22/2088,90,,,ESTJ,Blacksteel,,178,179,179
213,4,Graeme,Collum,M,8/27/2013,4/6/2088,75,2055,42,ENTP,Ashenmourn,,178,179,179
214,3,Hillyer,Constance,M,11/10/1914,2/10/1973,59,1945,31,ESTP,Blacksteel,,161,162,162
215,3,Julina,Lappine,F,12/24/1920,5/23/2001,81,1945,25,ESFP,Blacksteel,214,,,214
216,4,Glenda,Stuke,F,9/5/1948,5/14/2007,59,,,ISFP,Blacksteel,,214,215,215
217,4,Draven,Millam,M,2/18/1955,11/14/2022,67,1996,41,ESFJ,Blacksteel,,214,215,215
218,4,Hobard,Hutchinson,M,12/19/1948,12/11/2042,94,1996,48,ESTP,Ashenfire,217,,,217
219,5,Ignatius,Bunch,M,11/4/1996,7/25/2083,87,,,ESTJ,Ashenfire,,217,218,218
220,5,Alene,Otton,F,5/15/2010,8/9/2071,61,2044,34,ENFP,Ashenfire,,217,218,218
221,5,Tedi,Oakes,F,1/13/2020,1/13/2095,75,,,ESFP,Ashenfire,,217,218,218
230,4,Celinda,Shilling,F,8/24/1993,9/8/2047,54,,,ENFJ,Blacksteel,,214,215,215
233,3,Berkeley,Barnsdale,M,12/21/1931,8/8/1992,61,1971,40,ESTP,Akira,,161,162,162
234,3,Emmey,O'Lehane,F,12/12/1938,11/21/2037,99,1971,33,ESFJ,Aoki,233,,,233
235,4,Pansie,Foster-Smith,F,8/12/1971,5/19/2064,93,1999,28,ESTP,Akira,,233,234,234
236,4,Quincey,Straw,M,4/16/1962,9/9/2036,74,1999,37,ENTP,Akira,235,,,235
237,5,Hammad,McOrkill,M,3/15/1999,9/28/2086,87,2037,38,ESTJ,Akira,,235,236,236
238,5,Ingmar,Blanshard,M,3/24/2014,4/20/2104,90,,,ESFJ,Akira,,235,236,236
245,2,Othelia,Keijser,F,2/10/1851,8/15/1941,90,,,ISFJ,Blacksteel,,98,99,99
