id,first_name,last_name,gender,birthdate,deathdate,mother_id,father_id,spouse_id,children_ids
40,Berne,Sawden,Female,4/4/2021,8/6/1988,40,40,40,"[{},{},{}]"
41,Sigrid,Oxby,Male,11/1/1976,11/16/1955,41,41,41,[{}]
42,Ulrikaumeko,Sandall,Female,6/7/1983,6/5/1925,42,42,42,"[{},{},{},{},{}]"
43,Pippy,Phear,Male,5/11/1935,4/3/1950,43,43,43,[]
44,Julianna,Rawe,Male,8/23/1938,5/25/1917,44,44,44,"[{},{},{}]"
45,Aurthur,Lyon,Male,3/25/1933,12/25/1908,45,45,45,"[{},{},{}]"
46,Amos,Putnam,Male,3/25/2009,4/29/1964,46,46,46,"[{},{},{},{}]"
47,Flinn,Hendrick,Female,9/25/1999,1/12/1969,47,47,47,"[{},{},{}]"
48,Derrick,O'Sherin,Male,11/26/1961,3/31/1968,48,48,48,"[{},{},{},{},{}]"
49,Inez,Lasselle,Male,2/18/1999,10/13/1960,49,49,49,"[{},{},{},{}]"
50,Farris,Shakesbye,Female,4/8/1992,8/20/1941,50,50,50,"[{},{}]"
51,Ester,Edgeler,Male,5/17/1952,8/8/1919,51,51,51,"[{},{},{}]"
52,Courtney,Herreran,Male,12/6/2021,8/9/1986,52,52,52,[{}]
53,Michal,Beckhouse,Male,1/19/2009,8/17/1968,53,53,53,[{}]
54,Lucila,Isaac,Female,9/3/1919,11/29/1902,54,54,54,[{}]
55,Herb,Brumfitt,Female,2/3/1989,7/17/1970,55,55,55,"[{},{},{},{},{}]"
56,Genna,Atyeo,Female,7/29/2003,7/2/1904,56,56,56,[{}]
57,Max,Greatham,Female,8/25/2001,6/3/1961,57,57,57,"[{},{}]"
58,Sergeant,Couch,Female,3/16/1977,1/28/1922,58,58,58,[]
59,Jefferson,Wanless,Male,2/16/2013,9/11/1977,59,59,59,"[{},{},{},{},{}]"
60,Georgiana,Deniske,Female,5/7/1906,7/14/1937,60,60,60,"[{},{},{},{}]"
61,Beryl,Pruvost,Female,4/17/1904,8/9/1942,61,61,61,"[{},{}]"
62,Bax,Albers,Male,4/1/1989,6/18/1921,62,62,62,[]
63,Ursuline,Houtbie,Female,9/28/1974,3/16/1949,63,63,63,"[{},{}]"
64,Rosemary,Smidmor,Male,1/15/1947,12/14/1946,64,64,64,[{}]
65,Alejoa,Vinter,Female,1/4/1950,10/23/1954,65,65,65,[{}]
66,Gradeigh,Bragge,Male,1/27/1933,4/2/1913,66,66,66,[]
67,Lem,Bartoli,Male,7/27/1911,3/12/1949,67,67,67,"[{},{},{},{},{}]"
68,Alvie,Mc Trusty,Female,3/28/1980,1/13/1941,68,68,68,"[{},{}]"
69,Clem,Giuron,Female,8/3/1940,8/17/1981,69,69,69,[]
70,Christina,Tuckwell,Male,10/28/1932,10/28/1990,70,70,70,"[{},{},{},{},{}]"
71,Annabelle,Iorizzo,Female,7/4/1968,8/5/1931,71,71,71,[{}]
72,Francesca,Columbell,Male,5/23/1991,11/28/1901,72,72,72,"[{},{},{},{},{}]"
73,Rolph,Bruckman,Male,10/31/2008,5/28/1959,73,73,73,"[{},{},{},{},{}]"
74,Barb,Halliberton,Male,9/12/1916,10/8/2006,74,74,74,"[{},{}]"
75,Jeniffer,Harland,Female,11/18/1941,4/25/1924,75,75,75,[{}]
76,Jobey,O' Mullan,Female,10/5/1959,1/14/1909,76,76,76,[]
77,Casper,Bambrugh,Female,4/21/1968,10/18/2017,77,77,77,[]
78,Nathanial,Adcocks,Male,9/3/1967,5/18/1961,78,78,78,"[{},{},{},{}]"
79,Rollins,Adnet,Male,12/31/1976,5/13/1986,79,79,79,[]
80,Donovan,Schimek,Female,4/16/1958,9/4/1909,80,80,80,"[{},{},{}]"
81,Theodoric,Selliman,Female,6/29/1971,5/25/1977,81,81,81,"[{},{},{}]"
82,Easter,Hambling,Male,7/22/2006,5/7/1900,82,82,82,[{}]
83,Marc,Cholwell,Female,10/16/1997,12/22/1988,83,83,83,[{}]
84,Clayton,Scotson,Male,12/10/1981,9/30/1980,84,84,84,"[{},{},{},{}]"
85,Melisenda,Astbery,Female,6/9/1982,5/19/1931,85,85,85,"[{},{},{},{}]"
86,Teddie,Ollerton,Female,2/12/1926,6/29/1960,86,86,86,[{}]
87,Roscoe,Pidduck,Male,5/3/1906,2/23/1993,87,87,87,"[{},{},{},{}]"
88,Tito,Wapplington,Male,8/28/1995,10/25/1994,88,88,88,"[{},{},{}]"
89,Georgena,Di Bernardo,Male,5/24/2015,3/6/1917,89,89,89,[{}]
90,Eberto,Stiegar,Female,9/26/1990,1/6/1995,90,90,90,"[{},{}]"
91,Dominique,Samarth,Male,2/3/1902,12/14/1978,91,91,91,"[{},{}]"
92,Isaiah,Straker,Female,12/16/1968,11/26/1952,92,92,92,"[{},{},{},{},{}]"
93,Myrtia,Murrthum,Female,1/10/1952,9/16/2008,93,93,93,"[{},{},{},{},{}]"
94,Correy,Lownie,Female,12/20/1974,9/8/1966,94,94,94,[]
95,Johny,Pendered,Male,1/6/1916,4/11/1942,95,95,95,[]
96,Madelin,McOwen,Male,4/7/1931,4/29/2005,96,96,96,[{}]
97,Pren,Necrews,Female,2/28/2008,1/29/1959,97,97,97,[]
98,Averill,Bareford,Female,3/24/1983,6/26/2014,98,98,98,"[{},{},{},{},{}]"
99,Milli,Cragell,Male,11/8/1934,5/10/1966,99,99,99,"[{},{},{}]"
100,Orin,Rochester,Female,11/22/1933,7/6/1979,100,100,100,[{}]
101,Rosaleen,Vescovo,Female,1/28/1917,10/23/1999,101,101,101,[]
102,Yves,McGahy,Female,8/21/1971,3/21/1990,102,102,102,"[{},{},{},{}]"
103,Glennis,Burkin,Female,11/28/1914,3/29/2007,103,103,103,"[{},{}]"
104,Sarah,Pledger,Female,12/31/1919,3/30/1980,104,104,104,"[{},{},{},{},{}]"
105,Morrie,Smeeth,Female,12/31/1940,6/15/1966,105,105,105,"[{},{}]"
106,Linda,Goby,Male,8/10/1992,8/21/1981,106,106,106,[]
107,Bernetta,Dobble,Female,10/26/1970,7/10/1935,107,107,107,"[{},{}]"
108,Vonnie,Frudd,Female,3/30/2014,4/10/1978,108,108,108,"[{},{}]"
109,Micah,Boydle,Female,9/25/1991,10/11/1997,109,109,109,"[{},{}]"
110,Denny,Varey,Female,12/26/1915,12/3/1936,110,110,110,"[{},{}]"
111,Alisander,Blackstock,Male,2/5/1934,11/24/1951,111,111,111,"[{},{},{},{}]"
112,Hunfredo,Posner,Female,9/23/1921,2/19/1998,112,112,112,"[{},{},{}]"
113,Joellen,Rumble,Male,11/17/1907,4/29/1983,113,113,113,"[{},{},{},{},{}]"
114,Bertine,Newis,Male,6/28/2003,1/10/1920,114,114,114,[{}]
115,Denys,Lushey,Female,9/21/1950,5/3/1958,115,115,115,"[{},{},{},{},{}]"
116,Christoph,Molnar,Male,1/2/1989,2/22/1906,116,116,116,"[{},{},{},{}]"
117,Jilleen,Cope,Male,1/15/1970,3/12/1900,117,117,117,"[{},{},{},{},{}]"
118,Michelle,Oliffe,Male,8/10/1942,12/6/2020,118,118,118,[]
119,Adlai,Yewdell,Male,1/1/1950,7/22/1956,119,119,119,"[{},{},{},{}]"
120,Micky,Gergus,Female,8/11/2011,4/26/1976,120,120,120,"[{},{},{},{}]"
121,Angeline,Libby,Male,8/11/2001,8/10/1939,121,121,121,"[{},{},{},{},{}]"
122,Vivian,Tainton,Male,5/19/2008,7/13/1915,122,122,122,"[{},{},{},{},{}]"
123,Danyette,Anselmi,Female,7/13/1939,2/20/1914,123,123,123,"[{},{},{},{}]"
124,Lemuel,Balsdon,Male,3/10/2011,7/17/1979,124,124,124,"[{},{}]"
125,Natalie,Patrick,Female,9/6/1988,4/2/1950,125,125,125,[{}]
126,Dionisio,Brignell,Female,9/18/1937,6/12/2007,126,126,126,"[{},{},{},{}]"
127,Gwenni,Isbell,Male,7/18/2016,9/3/2007,127,127,127,"[{},{},{}]"
128,Cymbre,Mountlow,Male,9/29/1989,1/18/1911,128,128,128,[]
129,Charin,Gonzales,Male,4/14/1911,7/7/1992,129,129,129,[{}]
130,Reginauld,Readings,Female,11/23/1922,7/19/1960,130,130,130,"[{},{},{}]"
131,Pru,Tompion,Female,8/23/1957,10/13/1943,131,131,131,"[{},{},{}]"
132,Farlay,Lind,Female,9/20/2004,11/14/1918,132,132,132,"[{},{},{},{}]"
133,Matti,Plott,Female,1/24/1942,5/5/1928,133,133,133,"[{},{},{},{},{}]"
134,Salli,Attryde,Female,1/12/1991,5/18/1905,134,134,134,"[{},{},{},{}]"
135,Liana,Fiske,Female,5/9/1910,11/5/2019,135,135,135,"[{},{},{},{},{}]"
136,Gustav,Banaszczyk,Male,7/13/1900,3/27/1943,136,136,136,"[{},{},{},{}]"
137,Clerkclaude,Clingan,Female,4/29/1904,1/13/1965,137,137,137,"[{},{},{}]"
138,Ky,Learned,Female,11/6/1922,5/31/1986,138,138,138,"[{},{}]"
139,Sebastian,Spacey,Male,11/19/1917,5/16/1919,139,139,139,"[{},{},{},{}]"
140,Zackariah,Hamel,Female,11/5/1904,3/4/1934,140,140,140,"[{},{},{},{},{}]"
141,Jeremias,Cluet,Female,3/30/2015,11/19/1911,141,141,141,"[{},{}]"
142,Corrie,Cristea,Male,6/5/1949,6/23/1932,142,142,142,[{}]
143,Kaja,Baldoni,Male,3/9/1971,1/19/2019,143,143,143,"[{},{},{},{}]"
144,Gene,Reihill,Male,12/18/2003,2/26/1963,144,144,144,"[{},{}]"
145,Chrissy,Navarro,Male,8/2/2018,5/26/1965,145,145,145,"[{},{},{}]"
146,Othello,Ruos,Female,2/15/1927,6/6/1941,146,146,146,"[{},{},{}]"
147,Selia,Roma,Male,1/10/1967,12/17/1961,147,147,147,"[{},{}]"
148,Mikey,Jenner,Male,12/9/2001,1/24/1979,148,148,148,[{}]
149,Jerrie,Branni,Male,2/1/1995,3/17/1915,149,149,149,"[{},{}]"
150,Farrand,Jerram,Male,7/20/1926,10/14/1972,150,150,150,[{}]
151,Billye,Laraway,Female,2/12/1980,6/26/2012,151,151,151,[{}]
152,Erina,Innett,Female,1/24/1934,3/26/1945,152,152,152,"[{},{},{},{},{}]"
153,Sigfrid,Uttley,Female,7/18/1900,9/1/2014,153,153,153,[{}]
154,Tabbie,Birdis,Female,2/24/1901,4/10/2016,154,154,154,"[{},{}]"
155,Ermin,Gurrado,Male,5/12/1972,12/19/1982,155,155,155,"[{},{},{},{},{}]"
156,Carey,Castellanos,Female,10/6/1985,3/28/2012,156,156,156,[{}]
157,Gabbi,Skews,Female,4/9/1939,1/3/1971,157,157,157,"[{},{},{},{}]"
158,Maurice,Ramsier,Male,2/4/1950,10/28/1938,158,158,158,[{}]
159,Kerrie,Reijmers,Female,3/24/1900,5/7/1991,159,159,159,"[{},{},{},{}]"
160,Brett,Bruty,Female,11/5/1960,12/23/1909,160,160,160,"[{},{},{},{}]"
161,Daile,Swanwick,Male,7/17/2000,2/9/1979,161,161,161,"[{},{},{},{}]"
162,Chev,Arent,Male,4/21/1950,12/20/2001,162,162,162,"[{},{}]"
163,Craggy,Bestar,Female,5/14/1958,6/22/1900,163,163,163,[{}]
164,Adriena,Hackworth,Female,3/28/2013,9/17/1990,164,164,164,"[{},{},{}]"
165,Nellie,Lyard,Female,7/25/2015,9/12/1997,165,165,165,"[{},{},{},{},{}]"
166,Eddi,Gockeler,Male,7/2/1996,10/8/1987,166,166,166,"[{},{},{},{}]"
167,Lizette,Pawlowicz,Female,6/1/1955,1/9/1916,167,167,167,"[{},{},{}]"
168,Boote,Becerra,Female,4/2/1948,6/21/1908,168,168,168,"[{},{},{},{},{}]"
169,Melisent,Janczyk,Female,4/28/1933,7/21/1919,169,169,169,[{}]
170,Raimondo,Sherlock,Female,10/25/2003,4/27/2006,170,170,170,"[{},{},{},{}]"
171,Myranda,Conring,Male,10/10/2017,1/14/1945,171,171,171,[]
172,Biddy,Gori,Female,8/30/1993,9/25/1972,172,172,172,"[{},{},{}]"
173,Mabelle,Jeggo,Male,6/26/2015,4/27/1932,173,173,173,"[{},{}]"
174,Benedict,Orrobin,Male,2/8/1904,5/16/1938,174,174,174,"[{},{},{},{}]"
175,Dane,Muehle,Female,3/17/1905,9/29/1903,175,175,175,[{}]
176,Mayor,Randell,Male,9/25/1917,12/1/2002,176,176,176,[{}]
177,Giulietta,Beine,Female,8/25/1992,9/27/1905,177,177,177,[]
178,Asher,Philipot,Female,12/21/1927,12/19/1931,178,178,178,"[{},{}]"
179,Benton,Comfort,Female,3/9/2012,12/15/1964,179,179,179,"[{},{},{}]"
180,Shelden,Applegarth,Male,7/28/1996,2/4/1977,180,180,180,"[{},{}]"
181,Benoite,Applegate,Male,8/25/1970,11/9/2007,181,181,181,"[{},{},{},{}]"
182,Man,Jenkison,Female,8/31/1944,10/30/1909,182,182,182,"[{},{},{}]"
183,Jemima,Haslewood,Male,3/18/1929,11/16/1939,183,183,183,"[{},{},{},{}]"
184,Kalindi,Fishleigh,Male,12/6/2009,9/13/1995,184,184,184,"[{},{},{}]"
185,Mariette,Rozsa,Male,1/5/1997,4/27/1996,185,185,185,[]
186,Catharina,Ogan,Female,4/1/1911,1/8/2009,186,186,186,"[{},{},{},{}]"
187,Baudoin,Willis,Male,11/24/2018,7/6/1974,187,187,187,"[{},{},{},{}]"
188,Ginnifer,Mutch,Male,4/3/1905,9/9/1965,188,188,188,"[{},{},{}]"
189,Humphrey,Alibone,Male,8/9/1987,1/15/1942,189,189,189,"[{},{},{},{},{}]"
190,Tammara,Ecles,Male,8/7/1982,5/6/1969,190,190,190,"[{},{},{},{},{}]"
191,Petr,Gowanson,Male,9/28/1908,8/28/1923,191,191,191,"[{},{},{}]"
192,Padriac,Dobbs,Female,4/15/1917,8/22/1981,192,192,192,[{}]
193,Phaidra,Griniov,Male,4/8/1961,3/25/2004,193,193,193,[]
194,Chucho,Kalf,Female,1/28/2021,12/30/1929,194,194,194,"[{},{}]"
195,Carly,Spellman,Male,11/6/1997,2/16/2014,195,195,195,"[{},{},{}]"
196,Coleen,Bertouloume,Female,2/19/2000,4/23/2002,196,196,196,"[{},{}]"
197,Hogan,Yankin,Male,3/14/1951,12/9/1932,197,197,197,"[{},{}]"
198,Eada,Albury,Male,6/22/1946,6/1/1953,198,198,198,[]
199,Freida,Iannetti,Male,1/9/1962,4/8/1912,199,199,199,[]
200,Giovanna,Harwood,Male,8/3/1910,7/30/1951,200,200,200,[]
201,Lalo,Baggaley,Female,11/11/1975,2/25/1976,201,201,201,[]
202,August,Feighry,Male,2/5/1932,2/17/1959,202,202,202,[{}]
203,Minette,Kave,Female,12/20/1968,10/9/1904,203,203,203,[]
204,Gracie,Mityashev,Male,4/30/1914,4/18/1905,204,204,204,"[{},{},{},{}]"
205,Lotte,Leathart,Female,9/18/1968,7/20/1905,205,205,205,"[{},{},{}]"
206,Jackelyn,Very,Female,5/20/1947,2/8/1966,206,206,206,"[{},{}]"
207,Maurene,Dmytryk,Female,10/16/1959,10/25/1974,207,207,207,"[{},{},{},{},{}]"
208,Laureen,Lamyman,Male,7/13/1910,7/8/2015,208,208,208,"[{},{}]"
209,Tonie,Rubrow,Male,7/18/1969,11/26/1993,209,209,209,"[{},{},{},{},{}]"
210,Carin,Hasnip,Female,4/7/1921,2/1/1983,210,210,210,[]
211,Hardy,Liggins,Male,3/30/1981,9/29/1988,211,211,211,"[{},{}]"
212,Sibeal,Eglaise,Female,5/12/2018,10/22/1945,212,212,212,[]
213,Wernher,Ickovici,Female,4/1/1914,11/17/2012,213,213,213,"[{},{}]"
214,Dinny,Gartshore,Female,1/22/1910,12/28/2012,214,214,214,"[{},{},{},{},{}]"
215,Katina,Kneeland,Male,3/13/1934,4/19/1920,215,215,215,"[{},{},{},{}]"
216,Consuela,Burling,Female,12/28/1945,1/9/1952,216,216,216,[{}]
217,Kori,Crooke,Female,4/30/2015,2/23/1988,217,217,217,"[{},{},{}]"
218,Amelia,Petcher,Male,8/3/1951,5/9/1901,218,218,218,[{}]
219,Aggy,Turtle,Female,10/30/1930,10/2/1907,219,219,219,"[{},{}]"
220,Ninon,Eland,Female,7/10/1995,2/11/1953,220,220,220,"[{},{},{}]"
221,Abby,Stitt,Female,5/23/1960,9/26/1984,221,221,221,"[{},{},{},{},{}]"
222,Adrien,Alphege,Female,6/4/1951,7/30/1902,222,222,222,[]
223,Rici,Thomason,Female,12/16/2012,9/20/1913,223,223,223,[{}]
224,Christa,Kingsland,Female,7/5/1991,7/15/1925,224,224,224,[]
225,Matilde,Foffano,Male,6/2/2015,8/18/1906,225,225,225,[]
226,Corinna,Crosetto,Male,5/18/1940,4/24/2016,226,226,226,"[{},{}]"
227,Obidiah,Peschke,Male,3/24/1912,6/30/1939,227,227,227,"[{},{},{}]"
228,Aubine,Maskill,Male,8/3/1971,9/3/1987,228,228,228,"[{},{},{},{}]"
229,Jeffy,Wildman,Female,2/17/2009,10/13/1940,229,229,229,[{}]
230,Sarina,Van Ross,Female,6/16/1996,10/20/1910,230,230,230,"[{},{}]"
231,Adolphe,Howroyd,Male,9/14/1900,3/8/1992,231,231,231,[{}]
232,Stefanie,Arlett,Male,7/29/1931,4/9/1900,232,232,232,"[{},{}]"
233,Wilie,Rossant,Male,6/12/2010,12/28/1966,233,233,233,[]
234,Aloisia,Trematick,Female,10/6/1948,3/13/1997,234,234,234,"[{},{},{},{}]"
235,Delmore,de'-Ancy Willis,Male,12/5/1960,2/2/1954,235,235,235,[{}]
236,Kylynn,Kitlee,Female,4/10/1953,8/16/1973,236,236,236,"[{},{},{},{}]"
237,Loree,Ubsdale,Male,9/13/1986,6/13/1948,237,237,237,"[{},{},{},{}]"
238,Conny,Vasilkov,Female,4/23/1965,5/8/1997,238,238,238,"[{},{},{}]"
239,Anissa,Bister,Male,11/13/2018,12/19/1974,239,239,239,[{}]
240,Burl,Oliver-Paull,Male,6/2/1978,1/1/2020,240,240,240,"[{},{},{}]"
241,Sheena,Demsey,Female,6/13/1944,7/5/1919,241,241,241,"[{},{}]"
242,Donna,Chase,Male,11/17/1927,3/14/2020,242,242,242,"[{},{},{}]"
243,Isidro,Linggood,Male,6/4/1949,9/8/1924,243,243,243,"[{},{},{},{},{}]"
244,Cherrita,Brooksby,Female,2/20/1934,2/7/1910,244,244,244,"[{},{},{}]"
245,Valeda,Caslane,Female,10/8/1968,12/14/1909,245,245,245,"[{},{}]"
246,Kristos,Extill,Male,4/26/1995,8/25/1983,246,246,246,"[{},{}]"
247,Raven,Kebbell,Female,8/24/1964,10/17/2010,247,247,247,"[{},{},{},{}]"
248,Jacqueline,Girvin,Female,6/22/1969,5/16/1994,248,248,248,"[{},{},{},{}]"
249,Doreen,Give,Female,11/4/1965,8/4/1999,249,249,249,"[{},{},{},{}]"
250,Margarita,Kuhne,Male,5/16/2013,6/15/1940,250,250,250,"[{},{},{},{},{}]"
251,Bryana,Christon,Female,5/24/1927,7/27/1935,251,251,251,"[{},{}]"
252,Zorine,Pomeroy,Male,11/20/1922,1/26/1931,252,252,252,[]
253,Nichole,Brydone,Female,5/9/1918,7/15/1979,253,253,253,[{}]
254,Amabelle,Fust,Female,12/25/1947,12/2/1901,254,254,254,"[{},{},{}]"
255,Georgine,Shimon,Female,8/10/1903,11/4/1965,255,255,255,[{}]
256,Harper,MacLaren,Male,6/14/1925,3/11/1978,256,256,256,"[{},{},{},{},{}]"
257,Renata,Emnoney,Female,8/13/1980,7/26/1957,257,257,257,[]
258,Mariejeanne,Brunstan,Male,8/4/1980,2/19/1946,258,258,258,"[{},{}]"
259,Ambrosius,Valsler,Male,4/11/1930,9/4/1945,259,259,259,[]
260,Orlando,Cardo,Male,12/19/2002,1/16/1932,260,260,260,"[{},{}]"
261,Frederich,Tomaszewski,Female,11/19/1971,2/15/1964,261,261,261,[{}]
262,Luce,Johnsson,Male,3/18/1900,6/4/2004,262,262,262,"[{},{},{}]"
263,Andriana,Allcoat,Female,7/27/1926,7/1/1953,263,263,263,[]
264,Minetta,Brabon,Male,7/27/1907,9/29/1911,264,264,264,[]
265,Robb,O'Garmen,Male,8/17/1942,1/28/2015,265,265,265,"[{},{},{}]"
266,Janine,Kenford,Male,7/7/1919,8/20/2008,266,266,266,[]
267,Adi,McConville,Male,3/1/1955,2/21/1915,267,267,267,"[{},{},{},{},{}]"
268,Justus,Price,Male,4/7/1913,9/7/1990,268,268,268,[{}]
269,Alfred,Warnes,Male,2/22/1962,10/22/1903,269,269,269,[]
270,Jacky,Fronzek,Male,8/10/1969,11/8/1985,270,270,270,"[{},{},{},{},{}]"
271,Clemens,Bygrove,Female,2/15/2012,11/14/1923,271,271,271,"[{},{}]"
272,Dorise,Bercher,Male,4/29/1928,1/14/1991,272,272,272,"[{},{}]"
273,Becca,Beagrie,Female,9/3/1979,5/20/1923,273,273,273,"[{},{}]"
274,Axe,Bruntje,Male,9/27/1930,3/22/1989,274,274,274,"[{},{},{},{}]"
275,Jammie,Anthoine,Female,4/29/2020,7/14/1999,275,275,275,"[{},{}]"
276,Wadsworth,Bointon,Male,10/15/1988,3/11/1914,276,276,276,[{}]
277,Kerri,Goldsby,Male,6/21/1996,6/28/1989,277,277,277,"[{},{},{}]"
278,Laney,Summerscales,Male,6/10/1989,5/8/1919,278,278,278,[]
279,Peri,Stannion,Female,2/17/1999,10/5/1990,279,279,279,"[{},{},{},{},{}]"
280,Giustina,Male,Male,10/13/1979,12/14/1987,280,280,280,"[{},{},{},{}]"
281,Averil,Scotchbrook,Male,4/6/1926,1/15/1980,281,281,281,[]
282,Der,Britcher,Female,1/5/1990,4/24/1920,282,282,282,"[{},{}]"
283,Walliw,Vondrach,Female,11/1/1979,3/13/1900,283,283,283,[]
284,Aura,Mudge,Male,10/23/1972,5/5/1912,284,284,284,[]
285,Calv,Woodhall,Female,8/26/1956,9/17/1975,285,285,285,"[{},{},{},{},{}]"
286,Erna,Ryles,Female,7/1/1914,11/18/1971,286,286,286,[]
287,Theodoric,McMeyler,Male,11/14/1918,2/24/1926,287,287,287,"[{},{},{}]"
288,Nalani,Garbott,Male,10/7/1999,5/8/1934,288,288,288,"[{},{},{},{}]"
289,Timothy,Sowman,Male,1/22/1910,7/16/1943,289,289,289,[]
290,Dulcinea,Blaschek,Male,3/1/1970,1/24/2012,290,290,290,"[{},{},{},{},{}]"
291,Drusilla,Fitzhenry,Male,10/29/1939,3/8/1936,291,291,291,"[{},{},{},{}]"
292,Leigh,Martell,Male,8/9/1913,10/30/1990,292,292,292,"[{},{},{}]"
293,Shirl,Widdecombe,Female,5/7/2007,4/12/1927,293,293,293,"[{},{},{}]"
294,Donavon,Moatt,Male,8/27/1915,9/25/2017,294,294,294,[]
295,Charmain,Joyes,Female,8/31/1970,12/14/1973,295,295,295,"[{},{},{}]"
296,Edouard,Hurdman,Female,5/15/1990,9/22/1962,296,296,296,"[{},{},{},{},{}]"
297,Eziechiele,Devigne,Male,8/29/1953,8/8/1975,297,297,297,"[{},{}]"
298,Nollie,Muller,Female,11/5/2010,10/11/1963,298,298,298,"[{},{}]"
299,Courtnay,Tomkys,Female,8/7/1949,10/4/2004,299,299,299,"[{},{},{},{}]"
300,Carla,Rapier,Male,4/11/1918,5/4/2007,300,300,300,"[{},{}]"
301,Gabriele,Dell Casa,Female,7/6/1948,8/5/1938,301,301,301,[{}]
302,Doralynne,O'Longain,Female,12/8/2015,9/11/2000,302,302,302,"[{},{},{}]"
303,Flinn,Rudsdale,Female,1/6/1978,6/4/1952,303,303,303,"[{},{},{}]"
304,Tony,Jacketts,Female,8/12/1944,12/25/1975,304,304,304,[]
305,Bernice,McShirrie,Male,4/25/1989,8/14/1945,305,305,305,"[{},{},{},{}]"
306,Jeana,Scheffel,Female,10/6/1933,4/11/1932,306,306,306,[]
307,Kacey,Goodfield,Male,1/27/2018,12/13/1945,307,307,307,"[{},{}]"
308,Ellene,Loan,Male,6/30/1945,7/2/1921,308,308,308,[{}]
309,Bord,Bearcock,Male,10/26/1943,11/27/2016,309,309,309,"[{},{},{}]"
310,Bertrand,Heinrici,Male,1/27/2016,3/16/1999,310,310,310,[]
311,Lester,Houlton,Male,3/29/2016,8/15/1916,311,311,311,"[{},{},{},{},{}]"
