#pid, name, gender, generation, byear, dyear, dage, myear, mage, ptype, clan, spouseId, parentId1, parentId2, parentNodeId
80,Glin,M,3,1892,2157,265,,,ESFP,3,,74,75,75
81,Dís,F,3,1902,2119,217,1934,32,ESFP,1,,74,75,75
82,Frór,M,3,1888,2157,269,1934,46,ENTP,4,81,,,81
83,Fráróró,M,4,1935,2183,248,,,ESTP,4,,81,82,82
84,Frin,M,4,1947,2205,258,,,ENFJ,4,,81,82,82
85,Fíl,M,4,1953,2102,149,,,ESTJ,4,,81,82,82
86,Dís,F,4,1967,2193,226,2000,33,ISTP,1,,81,82,82
87,Borini,M,4,1953,2213,260,2000,47,ESFJ,3,86,,,86
88,Dís,F,5,2000,2230,230,2033,33,ESFP,1,,86,87,87
89,Dís,F,5,2016,2027,11,,,ESFP,1,,86,87,87
90,Fráin,M,4,1985,2298,313,2013,28,ESTP,4,,81,82,82
91,Dís,F,4,1984,2303,319,2013,29,ESFP,5,90,,,90
92,Duri,M,5,2013,2231,218,,,ENTJ,4,,90,91,91
97,Grái,M,1,1735,1994,259,,,ISTP,5,,0,1,1
98,Doró,M,1,1755,1915,160,1802,47,ISFP,5,,0,1,1
99,Dís,F,1,1769,2058,289,1802,33,ESTJ,3,98,,,98
100,Dís,F,2,1802,2077,275,1836,34,ISFJ,3,,98,99,99
101,Bor,M,2,1811,2139,328,1836,25,ESTJ,3,100,,,100
102,Thori,M,3,1836,2115,279,,,ESTP,3,,100,101,101
103,Nori,M,3,1852,1985,133,1890,38,ISFJ,3,,100,101,101
104,Dís,F,3,1861,1890,29,1890,29,ESFJ,1,103,,,103
105,Ginil,M,4,1890,2125,235,1938,48,ESTJ,3,,103,104,104
106,Dís,F,4,1912,2180,268,1938,26,ESTJ,1,105,,,105
107,Fri,M,5,1939,2215,276,1985,46,ESTP,3,,105,106,106
108,Dís,F,5,1960,2225,265,1985,25,ESTJ,1,107,,,107
109,Bori,M,6,1989,2229,240,,,ENTJ,3,,107,108,108
110,Dís,F,6,1997,2044,47,2036,39,ENFJ,1,,107,108,108
111,Fró,M,6,2022,2153,131,,,ESFP,3,,107,108,108
114,Frón,M,5,1951,2210,259,1985,34,ESTP,3,,105,106,106
115,Dís,F,5,1948,2232,284,1985,37,ENTP,1,114,,,114
116,Náini,M,6,1985,2245,260,,,ESTP,3,,114,115,115
117,Dor,M,6,1994,2264,270,,,ESTJ,3,,114,115,115
118,Funi,M,6,2003,2301,298,,,ESFP,3,,114,115,115
119,Bomin,M,6,2016,2268,252,,,ESFJ,3,,114,115,115
124,Glói,M,5,1963,2259,296,1994,31,ESTJ,3,,105,106,106
125,Dís,F,5,1970,2165,195,1994,24,ESTP,3,124,,,124
126,Frin,M,6,1994,2197,203,,,ESTJ,3,,124,125,125
127,Ginin,M,6,2006,2261,255,,,ISTP,3,,124,125,125
128,Borói,M,6,2017,2281,264,,,ENTJ,3,,124,125,125
136,Ginin,M,5,1976,2234,258,,,ESTP,3,,105,106,106
137,Frór,M,5,1991,2177,186,,,ESFP,3,,105,106,106
138,Dís,F,5,2001,2223,222,2040,39,ESFJ,1,,105,106,106
139,Fróin,M,5,2015,2267,252,2063,48,ESTP,3,,105,106,106
141,Funin,M,3,1864,2129,265,,,ENTJ,3,,100,101,101
142,Dís,F,3,1877,2109,232,1912,35,ESTP,3,,100,101,101
143,Fure,M,3,1886,2168,282,1912,26,ESTJ,5,142,,,142
144,Gri,M,4,1912,2138,226,,,ESTJ,5,,142,143,143
145,Dís,F,4,1924,2157,233,1961,37,ESFP,3,,142,143,143
146,Flini,M,4,1918,2092,174,1961,43,ENTJ,0,145,,,145
147,Grini,M,5,1962,2178,216,,,ISTP,0,,145,146,146
148,Dís,F,5,1973,2296,323,2015,42,ISTJ,3,,145,146,146
149,Durói,M,5,1979,2249,270,2015,36,ESTP,0,148,,,148
150,Nori,M,6,2015,2265,250,,,ENFP,0,,148,149,149
155,Thalc,M,5,1992,2128,136,2048,56,ESTP,0,,145,146,146
156,Borin,M,5,2001,2294,293,,,ESFP,0,,145,146,146
158,Dís,F,4,1948,2244,296,,,ESTP,3,,142,143,143
159,Boró,M,4,1981,2131,150,,,ESTP,5,,142,143,143
160,Glin,M,2,1821,2027,206,,,ESTJ,5,,98,99,99
161,Dorin,M,2,1839,2067,228,1873,34,ESFP,5,,98,99,99
162,Dís,F,2,1834,2113,279,1873,39,ESFJ,1,161,,,161
163,Naril,M,3,1873,2140,267,,,ENTJ,5,,161,162,162
164,Dís,F,3,1885,2135,250,1923,38,INTP,1,,161,162,162
165,Thar,M,3,1884,2108,224,1923,39,ISTJ,1,164,,,164
166,Doróin,M,4,1923,2155,232,,,ESTP,1,,164,165,165
167,Frónin,M,4,1936,2186,250,,,ENFJ,1,,164,165,165
168,Furi,M,4,1945,2228,283,,,ESTJ,1,,164,165,165
169,Noró,M,4,1957,2174,217,,,ENTP,1,,164,165,165
170,Dís,F,4,1968,2222,254,2003,35,ESTJ,1,,164,165,165
171,Nárá,M,4,1964,2289,325,2003,39,ENFP,5,170,,,170
172,Thri,M,5,2003,2280,277,,,ESFJ,5,,170,171,171
173,Dís,F,5,2015,2224,209,2051,36,ESFJ,1,,170,171,171
176,Náifur,M,4,1980,2180,200,,,ESTJ,1,,164,165,165
177,Dís,F,4,2011,2247,236,2041,30,ESTJ,1,,164,165,165
178,Glin,M,3,1903,2142,239,1925,22,ENTJ,5,,161,162,162
179,Dís,F,3,1891,2198,307,1925,34,ESFP,4,178,,,178
180,Norif,M,4,1925,2035,110,1968,43,ISTJ,5,,178,179,179
181,Dís,F,4,1935,2204,269,1968,33,ESFJ,4,180,,,180
182,Dís,F,5,1968,2201,233,1998,30,ESTP,4,,180,181,181
183,Borin,M,5,1973,2195,222,1998,25,ESTJ,2,182,,,182
184,Glórin,M,6,1998,2125,127,2023,25,ENFJ,2,,182,183,183
185,Dís,F,6,1983,2291,308,2023,40,ENTP,0,184,,,184
186,Dís,F,7,2023,2207,184,2044,21,ENTJ,0,,184,185,185
189,Nali,M,6,2010,2277,267,,,ESFJ,2,,182,183,183
190,Furv,M,6,2018,2203,185,,,ESTP,2,,182,183,183
196,Dís,F,5,2005,2061,56,2042,37,ESTJ,4,,180,181,181
197,Thrin Fróini,M,4,1935,2093,158,,,ESFJ,5,,178,179,179
198,Boró,M,4,1948,2053,105,,,ENTJ,5,,178,179,179
199,Frin,M,4,1960,2201,241,,,ISFP,5,,178,179,179
200,Boml,M,4,1973,2287,314,,,ISTP,5,,178,179,179
201,Fílór,M,4,1984,2249,265,2019,35,ESTJ,5,,178,179,179
202,Dís,F,4,1986,2211,225,2019,33,ESFJ,5,201,,,201
203,Nari,M,5,2019,2210,191,,,ESTP,5,,201,202,202
212,Tho,M,4,1998,2309,311,,,ESTJ,5,,178,179,179
213,Dís,F,4,2013,2305,292,2055,42,ENTP,4,,178,179,179
214,Frói,M,3,1914,2152,238,1945,31,ESTP,5,,161,162,162
215,Dís,F,3,1920,2202,282,1945,25,ESFP,5,214,,,214
216,Grál,M,4,1948,2179,231,,,ISFP,5,,214,215,215
217,Dís,F,4,1955,2182,227,1996,41,ESFJ,5,,214,215,215
218,Thró,M,4,1948,2170,222,1996,48,ESTP,3,217,,,217
219,Th- Dorin,M,5,1996,2259,263,,,ESTJ,3,,217,218,218
220,Frin,M,5,2010,2271,261,2044,34,ENFP,3,,217,218,218
221,Dori,M,5,2020,2297,277,,,ESFP,3,,217,218,218
230,Grin,M,4,1993,2200,207,,,ENFJ,5,,214,215,215
233,Dís,F,3,1931,2200,269,1971,40,ESTP,1,,161,162,162
234,Grál,M,3,1938,2184,246,1971,33,ESFJ,2,233,,,233
235,Dís,F,4,1971,2222,251,1999,28,ESTP,1,,233,234,234
236,Dorói,M,4,1962,2206,244,1999,37,ENTP,1,235,,,235
237,Grin,M,5,1999,2235,236,2037,38,ESTJ,1,,235,236,236
238,Norini,M,5,2014,2291,277,,,ESFJ,1,,235,236,236
245,Glóró,M,2,1851,2171,320,,,ISFJ,5,,98,99,99
